freq,amp
188.125,0.08148626
188.75,0.0596553
189.375,0.016313246
190.0,0.00359851
190.625,0.0019991724
191.25,0.0014394041
191.875,0.0032786427
192.5,0.0015193709
193.125,0.00047980135
193.75,0.0019991724
194.375,0.0041582785
195.0,0.003758444
195.625,0.0016793048
196.25,0.00031986757
196.875,0.0031187087
197.5,0.004318212
198.125,0.010235762
198.75,0.036225002
199.375,0.13946226
200.0,0.27476624
200.625,0.17664686
201.25,0.051178813
201.875,0.008076656
202.5,0.0018392386
203.125,0.0047980137
203.75,0.0031986758
204.375,0.0019991724
205.0,0.0010395696
205.625,0.0018392386
206.25,0.0024789737
206.875,0.002958775
207.5,0.0015993379
208.125,0.0023190398
208.75,0.0032786427
209.375,0.0030387419
210.0,0.007516888
210.625,0.02470977
211.25,0.09156209
211.875,0.15329653
212.5,0.081166394
213.125,0.02415
213.75,0.0026389074
214.375,0.005357782
215.0,0.0024789737
215.625,0.003758444
216.25,0.0010395696
216.875,0.0027188743
217.5,0.0020791392
218.125,0.0019192054
218.75,0.0020791392
219.375,0.0023190398
220.0,0.0014394041
220.625,0.0015193709
221.25,0.0035185432
221.875,0.0064773182
222.5,0.020151656
223.125,0.078847356
223.75,0.1060361
224.375,0.0480601
225.0,0.015033776
225.625,0.0023190398
226.25,0.005037914
226.875,0.0067971856
227.5,0.004238245
228.125,0.0009596027
228.75,0.0018392386
229.375,0.0040783114
230.0,0.0031986758
230.625,0.0020791392
231.25,0.0017592716
231.875,0.00063973514
232.5,0.0027988413
233.125,0.0054377485
233.75,0.005837583
234.375,0.027748512
235.0,0.07340961
235.625,0.07956706
236.25,0.030787254
236.875,0.010955464
237.5,0.0060774838
238.125,0.0009596027
238.75,0.0023190398
239.375,0.0048779803
240.0,0.002958775
240.625,0.0015193709
241.25,0.0026389074
241.875,0.0024789737
242.5,0.0014394041
243.125,0.0008796358
243.75,0.0015193709
244.375,0.002159106
245.0,0.0024789737
245.625,0.013274504
246.25,0.04494139
246.875,0.1045967
247.5,0.09364123
248.125,0.033026326
248.75,0.009036259
249.375,0.0028788082
250.0,0.0035185432
250.625,0.0031187087
251.25,0.004318212
251.875,0.0027988413
252.5,0.0027188743
253.125,0.0019192054
253.75,0.002159106
254.375,0.00079966895
255.0,7.996689e-05
255.625,0.00071970205
256.25,0.0008796358
256.875,0.0067971856
257.5,0.009116226
258.125,0.04038328
258.75,0.08660415
259.375,0.06613262
260.0,0.020551492
260.625,0.0063173845
261.25,0.0055177156
261.875,0.0010395696
262.5,0.0010395696
263.125,0.0025589406
263.75,0.004318212
264.375,0.004558113
265.0,0.0016793048
265.625,0.0009596027
266.25,0.0012794703
266.875,0.0026389074
267.5,0.0027988413
268.125,0.004558113
268.75,0.00847649
269.375,0.044621527
270.0,0.116431795
270.625,0.19304007
271.25,0.12810697
271.875,0.04142285
272.5,0.01439404
273.125,0.0038384108
273.75,0.0015993379
274.375,0.00071970205
275.0,0.002239073
275.625,0.00063973514
276.25,0.0023190398
276.875,0.00359851
277.5,0.0009596027
278.125,0.0047980137
278.75,0.0040783114
279.375,0.002159106
280.0,0.00047980135
280.625,0.010795531
281.25,0.030707287
281.875,0.09140216
282.5,0.13850266
283.125,0.08052666
283.75,0.027108777
284.375,0.0079966895
285.0,0.0046380796
285.625,0.0039983448
286.25,0.002159106
286.875,0.00055976823
287.5,0.002159106
288.125,0.0035185432
288.75,0.0047980137
289.375,0.005277815
290.0,0.0020791392
290.625,0.0013594371
291.25,0.00047980135
291.875,0.002159106
292.5,0.0056776493
293.125,0.0023990069
293.75,0.020871358
294.375,0.026788909
295.0,0.011995034
295.625,0.009276159
296.25,0.0026389074
296.875,0.004558113
297.5,0.0016793048
298.125,0.0063973516
298.75,0.013274504
299.375,0.012234935
300.0,0.008556457
300.625,0.0056776493
301.25,0.005357782
301.875,0.0032786427
302.5,0.0019991724
303.125,0.005117881
303.75,0.0049579474
304.375,0.014873842
305.0,0.047420368
305.625,0.106915735
306.25,0.11331309
306.875,0.053897686
307.5,0.01671308
308.125,0.0040783114
308.75,0.0031187087
309.375,0.0012794703
310.0,0.0015993379
310.625,0.003758444
311.25,0.0024789737
311.875,0.0008796358
312.5,0.0013594371
313.125,0.0027188743
313.75,0.00039983448
314.375,0.0026389074
315.0,0.0033586095
315.625,0.0024789737
316.25,0.012634769
316.875,0.03878394
317.5,0.08052666
318.125,0.074689075
318.75,0.03134702
319.375,0.009596027
320.0,0.0055177156
320.625,0.0020791392
321.25,0.0031187087
321.875,0.0038384108
322.5,0.0013594371
323.125,0.0028788082
323.75,0.0023190398
324.375,0.0013594371
325.0,0.00359851
325.625,0.0027988413
326.25,0.0041582785
326.875,0.0036784771
327.5,0.004478146
328.125,0.008876325
328.75,0.02470977
329.375,0.04302219
330.0,0.03422583
330.625,0.013274504
331.25,0.005117881
331.875,0.00023990068
332.5,0.0028788082
333.125,0.0023990069
333.75,0.00063973514
334.375,0.0026389074
335.0,0.0011995034
335.625,0.0013594371
336.25,0.00071970205
336.875,0.0015193709
337.5,0.0011195365
338.125,0.00055976823
338.75,0.005037914
339.375,0.0039983448
340.0,0.00823659
340.625,0.019272022
341.25,0.025109604
341.875,0.01671308
342.5,0.0068771527
343.125,0.0039183777
343.75,0.0063173845
344.375,0.0028788082
345.0,0.0027988413
345.625,0.0024789737
346.25,0.0028788082
346.875,0.0027988413
347.5,0.005277815
348.125,0.0055976827
348.75,0.003758444
349.375,0.00079966895
350.0,0.0011995034
350.625,0.0054377485
351.25,0.0016793048
351.875,0.025829306
352.5,0.056776494
353.125,0.07460911
353.75,0.047260433
354.375,0.022710597
355.0,0.0075968546
355.625,0.0036784771
356.25,0.004478146
356.875,0.00079966895
357.5,0.0035185432
358.125,0.006637252
358.75,0.007436921
359.375,0.0010395696
360.0,0.005277815
360.625,0.004478146
361.25,0.002239073
361.875,0.0010395696
362.5,0.002958775
363.125,0.004238245
