t,amp
0.2763671875,-1239.1615
0.2765625,-1238.8954
0.2767578125,-1239.2375
0.276953125,-1239.6936
0.2771484375,-1239.5415
0.27734375,-1239.4275
0.2775390625,-1239.8076
0.277734375,-1240.1877
0.2779296875,-1239.9216
0.278125,-1239.7316
0.2783203125,-1240.1117
0.278515625,-1240.2257
0.2787109375,-1239.9977
0.27890625,-1240.1497
0.2791015625,-1240.3397
0.279296875,-1240.5298
0.2794921875,-1240.9858
0.2796875,-1241.138
0.2798828125,-1240.8339
0.280078125,-1240.9858
0.2802734375,-1241.2899
0.28046875,-1240.9098
0.2806640625,-1240.4158
0.280859375,-1240.6438
0.2810546875,-1240.8339
0.28125,-1240.4158
0.2814453125,-1240.2637
0.281640625,-1240.6818
0.2818359375,-1240.7958
0.28203125,-1240.6818
0.2822265625,-1240.6818
0.282421875,-1240.6818
0.2826171875,-1240.5677
0.2828125,-1240.4917
0.2830078125,-1240.6058
0.283203125,-1240.4537
0.2833984375,-1240.6818
0.28359375,-1241.252
0.2837890625,-1241.0999
0.283984375,-1240.6058
0.2841796875,-1240.6058
0.284375,-1241.0238
0.2845703125,-1240.7578
0.284765625,-1240.7578
0.2849609375,-1241.138
0.28515625,-1241.0999
0.2853515625,-1241.0619
0.285546875,-1241.138
0.2857421875,-1241.138
0.2859375,-1241.0619
0.2861328125,-1241.4419
0.286328125,-1241.5559
0.2865234375,-1241.0238
0.28671875,-1240.8718
0.2869140625,-1240.9858
0.287109375,-1240.7198
0.2873046875,-1240.2637
0.2875,-1240.4537
0.2876953125,-1240.7958
0.287890625,-1240.7958
0.2880859375,-1241.0619
0.28828125,-1241.2139
0.2884765625,-1241.3279
0.288671875,-1241.48
0.2888671875,-1241.518
0.2890625,-1241.2139
0.2892578125,-1241.1759
0.289453125,-1241.632
0.2896484375,-1241.67
0.28984375,-1241.3279
0.2900390625,-1241.4039
0.290234375,-1241.594
0.2904296875,-1241.3279
0.290625,-1241.0238
0.2908203125,-1240.8718
0.291015625,-1240.8339
0.2912109375,-1240.7958
0.29140625,-1241.0999
0.2916015625,-1241.138
0.291796875,-1240.9479
0.2919921875,-1241.4419
0.2921875,-1241.746
0.2923828125,-1241.366
0.292578125,-1241.1759
0.2927734375,-1241.366
0.29296875,-1241.2899
0.2931640625,-1240.7958
0.293359375,-1240.7198
0.2935546875,-1240.8339
0.29375,-1240.7958
0.2939453125,-1240.8339
0.294140625,-1240.8339
0.2943359375,-1240.7958
0.29453125,-1240.9858
0.2947265625,-1241.138
0.294921875,-1241.0999
0.2951171875,-1240.7198
0.2953125,-1240.9098
0.2955078125,-1241.252
0.295703125,-1240.8339
0.2958984375,-1240.5298
0.29609375,-1240.7578
0.2962890625,-1240.8339
0.296484375,-1240.3018
0.2966796875,-1240.1117
0.296875,-1240.1877
0.2970703125,-1239.9596
0.297265625,-1239.7697
0.2974609375,-1239.8076
0.29765625,-1239.6936
0.2978515625,-1239.6556
0.298046875,-1239.9977
0.2982421875,-1239.9216
0.2984375,-1239.5415
0.2986328125,-1239.5796
0.298828125,-1240.1497
0.2990234375,-1240.3397
0.29921875,-1239.9977
0.2994140625,-1240.1497
0.299609375,-1240.3777
0.2998046875,-1240.3777
0.3,-1240.2637
0.3001953125,-1240.2637
0.300390625,-1240.1497
0.3005859375,-1240.0736
0.30078125,-1240.2257
0.3009765625,-1240.1117
0.301171875,-1239.6176
0.3013671875,-1239.5415
0.3015625,-1239.8076
0.3017578125,-1239.5415
0.301953125,-1239.3135
0.3021484375,-1239.5415
0.30234375,-1239.6936
0.3025390625,-1239.5796
0.302734375,-1239.8456
0.3029296875,-1240.1877
0.303125,-1240.0356
0.3033203125,-1240.1877
0.303515625,-1240.2257
0.3037109375,-1239.7697
0.30390625,-1239.6176
0.3041015625,-1240.0356
0.304296875,-1239.9216
0.3044921875,-1239.2755
0.3046875,-1239.3516
0.3048828125,-1239.7697
0.305078125,-1239.8837
0.3052734375,-1240.0736
0.30546875,-1240.1877
0.3056640625,-1239.9216
0.305859375,-1239.8456
0.3060546875,-1239.8076
0.30625,-1239.3135
0.3064453125,-1238.8954
0.306640625,-1238.9335
0.3068359375,-1238.8574
0.30703125,-1238.3633
0.3072265625,-1238.2874
0.307421875,-1238.5533
0.3076171875,-1238.3633
0.3078125,-1237.9833
0.3080078125,-1238.0973
0.308203125,-1238.4773
0.3083984375,-1238.6294
0.30859375,-1238.5914
0.3087890625,-1238.7814
0.308984375,-1238.8954
0.3091796875,-1239.0094
0.309375,-1239.2375
0.3095703125,-1238.8954
0.309765625,-1238.9335
0.3099609375,-1239.6556
0.31015625,-1239.7697
0.3103515625,-1239.6936
0.310546875,-1240.1877
0.3107421875,-1240.3777
0.3109375,-1239.9216
0.3111328125,-1239.7316
0.311328125,-1240.0356
0.3115234375,-1240.0356
0.31171875,-1239.9216
0.3119140625,-1240.2257
0.312109375,-1240.4917
0.3123046875,-1240.9098
0.3125,-1241.0999
0.3126953125,-1240.8718
0.312890625,-1241.2139
0.3130859375,-1241.8981
0.31328125,-1242.05
0.3134765625,-1241.8981
0.313671875,-1242.2401
0.3138671875,-1242.3162
0.3140625,-1241.86
0.3142578125,-1241.86
0.314453125,-1242.3162
0.3146484375,-1242.3162
0.31484375,-1242.088
0.3150390625,-1242.3162
0.315234375,-1242.3541
0.3154296875,-1242.2781
0.315625,-1242.4681
0.3158203125,-1242.5061
0.316015625,-1242.5061
0.3162109375,-1242.8862
0.31640625,-1242.8862
0.3166015625,-1242.3541
0.316796875,-1242.3541
0.3169921875,-1242.5442
0.3171875,-1241.974
0.3173828125,-1241.8981
